P1;function;P2;digits
053;CW HCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
054;CW OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
055;CW AUTO MODE;0: OFF 1: 50 MHz 2: ON;1
056;CW BK-IN TYPE;0: SEMI BREAK-IN 1: FULL BREAK-IN;1
057;CW BK-IN DELAY;30 ~ 3000 msec (P2 = 0030 ~ 3000, 10 msec/step);4
058;CW WAVE SHAPE;0: 1 msec 1: 2 msec 2: 4 msec 3: 6 msec;1
059;CW FREQ DISPLAY;0: DIRECT FREQ 1: PITCH OFFSET;1
060;PC KEYING;0: OFF 1: DAKY 2: RTS 3: DTR;1
061;QSK DELAY TIME;0: 15 msec 1: 20 msec 2: 25 mesc 3: 30 msec;1
062;DATA MODE;0: PSK 1: OTHER;1
063;PSK TONE;0: 1000 Hz 1: 1500 Hz 2: 2000 Hz;1
064;OTHER DISP (SSB);–3000 Hz ~ 0 ~ +3000 Hz (P2 = –3000 ~ –0000 or +0000 ~ +3000, 10 Hz steps);5
065;OTHER SHIFT (SSB);–3000 Hz ~ 0 ~ +3000 Hz (P2 = –3000 ~ –0000 or +0000 ~ +3000, 10 Hz steps);5
066;DATA LCUT FREQ;00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps);2
067;DATA LCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
068;DATA HCUT FREQ;00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps);1
069;DATA HCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;2
070;DATA IN SELECT;0: MIC 1: REAR;1
071;DATA PTT SELECT;0: DAKY 1: RTS 2: DTR;1
072;DATA PORT SELECT;1: DATA 2: USB;1
073;DATA OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
074;FM MIC SELECT;0: MIC 1: REAR;1
075;FM OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
076;FM PKT PTT SELECT;0: DAKY 1: RTS 2: DTR;1
077;FM PKT PORT SELECT;1: DATA 2: USB;1
078;FM PKT TX GAIN;0 ~ 100 (P2 = 000 ~ 100);3
079;FM PKT MODE;0: 1200 1: 9600;1
080;RPT SHIFT 28MHz;0 ~ 1000 kHz (P2 = 0000 ~ 1000, 10 kHz/step);4
081;RPT SHIFT 50MHz;0 ~ 4000 kHz (P2 = 0000 ~ 4000, 10 kHz/step);4
082;RPT SHIFT 144MHz;0 ~ 4000 kHz (P2 = 0000 ~ 4000, 10 kHz/step);4
083;RPT SHIFT 430MHz;0 ~ 10000 kHz (P2 = 0000 ~ 10000, 10 kHz/step);5
084;ARS 144MHz;0: OFF 1: ON;1
085;ARS 430MHz;0: OFF 1: ON;1
086;DCS POLARITY;0: Tn-Rn 1: Tn-Riv 2: Tiv-Rn 3: Tiv-Riv;1
087;RADIO ID;- - - - - - - - - -;-
088;GM DISPLY;0: DISTANCE 1: STRENGTH;1
089;DISTANCE;0: km 1: mile;1
090;AMS TX MODE;0: AUTO 1: MANUAL 2: DN 3: VW 4: ANALOG;1
091;STANDBY BEEP;0: OFF 1: ON;1
092;RTTY LCUT FREQ;00: OFF 01: 100 Hz ~ 19: 1000Hz (50 Hz steps);2
093;RTTY LCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
094;RTTY HCUT FREQ;00: OFF 01: 700 Hz ~ 67: 4000Hz (50 Hz steps);2
095;RTTY HCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
096;RTTY SHIFT PORT;0: SHIFT 1: DTR 2: RTS;1
097;RTTY POLARITY-RX;0: NORNAL 1: REVERSE;1
098;RTTY POLARITY-TX;0: NORNAL 1: REVERSE;1
099;RTTY OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
100;RTTY SHIFT FREQ;1: 170 Hz 1: 200 Hz 2: 425 Hz 3: 850 Hz;1
101;RTTY MARK FREQ;1: 1275 Hz 2: 2125 Hz;1
102;SSB LCUT FREQ;00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps);2
103;SSB LCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
104;SSB HCUT FREQ;00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps);2
105;SSB HCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
106;SSB MIC SELECT;0: MIC 1: REAR;1
107;SSB OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
108;SSB PTT SELECT;0: DAKY 1: RTS 2: DTR;1
109;SSB PORT SELECT;0: DATA 1: USB;1
110;SSB TX BPF;0: 50 ~ 3000 1: 100 ~ 2900 2: 200 ~ 2800 3: 300 ~ 2700 4: 400 ~ 2600;1
111;APF WIDTH;0: NARROW 1: MEDIUM 2: WIDE;1
112;CONTOUR LEVEL;–40 ~ 0 ~ +20 (P2 = –40 ~ –00 or +00 ~ +20);3
113;CONTOUR WIDTH;01 ~ 11;2
114;IF NOTCH WIDTH;0: NARROW 1: WIDE;1
115;SCP DISPLAY MODE;0: SPECTRAM 1: WATER FALL;1
116;SCP SPAN FREQ;03: 50 kHz 04: 100 kHz 05: 200 kHz 06: 500 kHz 07: 1000 kHz;2
117;SPECTRUM COLOR;0: BLUE 1: GRAY 2: GREEN 3: ORANGE 4: PURPLE 5: RED 6: SKY BLUE;1
118;WATER FALL COLOR; 0: BLUE 1: GRAY 2: GREEN 3: ORANGE 4: PURPLE 5: RED 6: SKY BLUE 7: MULTI;1
119;PRMTRC EQ1 FREQ;00 : OFF 01: 100 02: 200 03: 300 04: 400 05: 500 06: 600 07: 700 Hz;2
120;PRMTRC EQ1 LEVEL;–20 ~ 0 ~ +10 (P2 = –20 ~ –00 or +00 ~ +10);3
121;PRMTRC EQ1 BWTH;01 ~ 10;2
122;PRMTRC EQ2 FREQ;00: OFF 01: 700 02: 800 03: 900 04: 1000 05: 1100 06: 1200 07: 1300 08: 1400 09: 1500 Hz;2
123;PRMTRC EQ2 LEVEL;–20 ~ 0 ~ +10 (P2 = –20 ~ –00 or +00 ~ +10);3
124;PRMTRC EQ2 BWTH;01 ~ 10;2
125;PRMTRC EQ3 FREQ;00 : OFF 01: 1500 02: 1600 03: 1700 04: 1800 05: 1900 06: 2000 ~ 18: 3200 Hz;2
126;PRMTRC EQ3 LEVEL;–20 ~ 0 ~ +10 (P2 = –20 ~ –00 or +00 ~ +10);3
127;PRMTRC EQ3 BWTH;01 ~ 10;2
128;P-PRMTRC EQ1 FREQ;00 : OFF 01: 100 02: 200 03: 300 04: 400 05: 500 06: 600 07: 700 Hz;2
129;P-PRMTRC EQ1 LEVEL;–20 ~ 0 ~ +10 (P2 = –20 ~ –00 or +00 ~ +10);3
130;P-PRMTRC EQ1 BWTH;01 ~ 10;2
131;P-PRMTRC EQ2 FREQ;00: OFF 01: 700 02: 800 03: 900 04: 1000 05: 1100 06: 1200 07: 1300 08: 1400 09: 1500 Hz;2
132;P-PRMTRC EQ2 LEVEL;–20 ~ 0 ~ +10 (P2 = –20 ~ –00 or +00 ~ +10);3
133;P-PRMTRC EQ2 BWTH;01 ~ 10;2
134;P-PRMTRC EQ3 FREQ;00 : OFF 01: 1500 02: 1600 03: 1700 04: 1800 05: 1900 06: 2000 ~ 18: 3200 Hz;2
135;P-PRMTRC EQ3 LEVEL;–20 ~ 0 ~ +10 (P2 = –20 ~ –00 or +00 ~ +10);3
136;P-PRMTRC EQ3 BWTH;01 ~ 10;2
137;HF TX MAX POWER;5 ~ 100 (P2 = 005 ~ 100);3
138;50M TX MAX POWER;5 ~ 100 (P2 = 005 ~ 100);3
139;144M TX MAX POWER;5 ~ 50 (P2 = 005 ~ 050);3
140;430M TX MAX POWER;5 ~ 50 (P2 = 005 ~ 050);3
141;TUNER SELECT;0: OFF 1: INTERNAL 2: EXTERNAL 3: ATAS 4: LAMP;1
142;VOX SELECT;0: MIC 1: DATA;1
143;VOX GAIN;000 ~ 100;3
144;VOX DELAY;30 ~ 3000 msec (P2 = 0030 ~ 3000, 10 msec/step);4
145;ANTI VOX GAIN;000 ~ 100;3
146;DATA VOX GAIN;000 ~ 100;3
147;DATA VOX DELAY;30 ~ 3000 msec (P2 = 0030 ~ 3000);4
148;ANTI DVOX GAIN;000 ~ 100;3
149;EMERGENCY FREQ TX;0: DISABLE 1: ENABLE;1
150;PRT/WIRES FREQ;0: MANUAL 1: PRESET;1
151;PRESET FREQUENCY;00030000 ~ 47000000;8
152;SEARCH SETUP;0: HISTORY 1: ACTIVITY;1
153;WIRES DG-ID;00: AUTO 01: DG-ID 01 ~ 99: DG-ID 99;2
